# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_sequence_feature	variants_effect_upstream_gene_variant
ABCC1	ABCC1	NM_004996.3	protein_coding	0	0	1	0	0	1	0	0	0
ACER3	ACER3	NM_001300953.1	protein_coding	0	0	1	0	0	1	0	0	0
ACER3	ACER3	NM_001300954.1	protein_coding	0	0	1	0	0	1	0	0	0
ACER3	ACER3	NM_001300955.1	protein_coding	0	0	1	0	0	1	0	0	0
ACER3	ACER3	NM_018367.6	protein_coding	0	0	1	0	0	1	0	0	0
AIM1L	AIM1L	NM_001039775.3	protein_coding	0	0	1	0	1	0	0	0	0
ALOX12P2	ALOX12P2	NR_002710.2		0	0	1	0	0	1	0	0	0
ATP11A	ATP11A	NM_015205.2	protein_coding	0	0	1	0	0	1	0	0	0
ATP11A	ATP11A	NM_032189.3	protein_coding	0	0	1	0	0	1	0	0	0
B4GALNT3	B4GALNT3	NM_173593.3	protein_coding	0	0	1	0	1	0	0	0	0
C6orf118	C6orf118	NM_144980.3	protein_coding	0	0	1	0	0	1	0	0	0
C7orf72	C7orf72	NM_001161834.2	protein_coding	0	0	1	0	0	0	0	0	1
CCNL2	CCNL2	NM_001039577.3	protein_coding	0	0	1	1	0	0	0	0	0
CCNL2	CCNL2	NM_001320153.1	protein_coding	0	0	1	0	0	1	0	0	0
CCNL2	CCNL2	NM_001320155.1	protein_coding	0	0	1	0	0	1	0	0	0
CCNL2	CCNL2	NM_030937.4	protein_coding	0	0	1	0	0	1	0	0	0
CCNL2	CCNL2	NR_135154.1		0	0	1	0	0	0	1	0	0
CD52	CD52	NM_001803.2	protein_coding	0	0	1	0	0	1	0	0	0
CENPC	CENPC	NM_001812.2	protein_coding	0	0	1	0	0	1	0	0	0
CFAP54	CFAP54	NM_001306084.1	protein_coding	0	0	1	0	0	0	0	0	1
CHST11	CHST11	NM_001173982.1	protein_coding	0	0	1	0	0	1	0	0	0
CHST11	CHST11	NM_018413.5	protein_coding	0	0	1	0	0	1	0	0	0
COMMD9	COMMD9	NM_001101653.1	protein_coding	0	0	1	0	0	1	0	0	0
COMMD9	COMMD9	NM_001307932.1	protein_coding	0	0	1	0	0	1	0	0	0
COMMD9	COMMD9	NM_001307937.1	protein_coding	0	0	1	0	0	1	0	0	0
COMMD9	COMMD9	NM_014186.3	protein_coding	0	0	1	0	0	1	0	0	0
DNM3	DNM3	NM_001136127.2	protein_coding	0	0	1	0	0	1	0	0	0
